,Albania,Austria,Belarus,Belgium,Belgium-Luxembourg,Bosnia and Herzegovina,Bulgaria,Croatia,Czechia,Czechoslovakia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Republic of Moldova,Romania,Russian Federation,Serbia,Serbia and Montenegro,Slovakia,Slovenia,Spain,Sweden,Switzerland,Ukraine,United Kingdom of Great Britain and Northern Ireland,USSR,Yugoslav SFR
1993,10000.0,375222.0,640500.0,,530215.0,20000.0,109858.0,61667.0,308116.0,,80000.0,40037.0,8000.0,2050983.0,882400.0,321579.0,819358.0,8100.0,2143540.0,93000.0,195200.0,,200.0,,597000.0,71676.0,27380.0,1841755.0,264122.0,890000.0,1097158.0,1623400.0,,224956.0,107327.0,66574.0,890500.0,18000.0,264075.0,1774000.0,355300.0,,
1994,9500.0,334248.0,280500.0,,527650.0,17000.0,76477.0,47348.0,244098.0,,37500.0,14034.0,6700.0,2157952.0,879500.0,339451.0,656987.0,11500.0,2232853.0,19000.0,41000.0,,150.0,,530000.0,70060.0,16599.0,1441124.0,212015.0,511500.0,363038.0,1142300.0,,148000.0,56856.0,109588.0,773960.0,18000.0,288235.0,651000.0,349800.0,,
1995,10000.0,383876.0,258400.0,,513935.0,17500.0,149287.0,51409.0,225534.0,,30000.0,31493.0,7300.0,2063809.0,573300.0,325799.0,352984.0,11800.0,1940007.0,49000.0,108400.0,,150.0,,534000.0,69850.0,22916.0,1288289.0,234897.0,472574.0,457203.0,1200000.0,,164000.0,38139.0,102752.0,816000.0,18000.0,199337.0,1046200.0,260900.0,,
1996,10000.0,367553.0,299500.0,,302188.0,17850.0,203668.0,74741.0,251436.0,,18000.0,9421.0,5800.0,1980069.0,878100.0,363142.0,551910.0,11500.0,2071261.0,18000.0,73000.0,,300.0,,637000.0,65399.0,14865.0,1951515.0,256712.0,378400.0,659719.0,1800000.0,,264000.0,79097.0,105426.0,899400.0,17000.0,358320.0,1040800.0,223600.0,,
1997,11300.0,477277.0,242000.0,,373155.0,25373.0,161232.0,57541.0,291007.0,,33000.0,20027.0,10500.0,2018979.0,764600.0,306616.0,499925.0,9700.0,1966470.0,85600.0,229100.0,,332.0,,420000.0,76602.0,12900.0,2098297.0,285716.0,823200.0,664063.0,1500000.0,,235000.0,80242.0,86832.0,983700.0,19000.0,226264.0,1897800.0,187000.0,,
1998,11500.0,416493.0,133200.0,,420730.0,24959.0,129145.0,72361.0,283148.0,,29000.0,8728.0,1900.0,1765375.0,977200.0,375345.0,481987.0,8000.0,2143300.0,13676.0,94000.0,,111.0,,518000.0,61675.0,13989.0,1687226.0,160074.0,238000.0,364619.0,1330000.0,,192000.0,83464.0,113978.0,736000.0,16000.0,426368.0,568200.0,183700.0,,
1999,11800.0,409671.0,133000.0,,562382.0,15910.0,92269.0,66752.0,264092.0,,32000.0,11384.0,2427.0,2133296.0,1036100.0,279112.0,444508.0,13000.0,2343800.0,34119.0,100000.0,,87.0,,570000.0,72952.0,9892.0,1604221.0,295000.0,347994.0,315049.0,1060000.0,,198000.0,68332.0,89373.0,988400.0,18000.0,228903.0,296800.0,246400.0,,
2000,12000.0,490363.0,213000.0,545460.0,,14376.0,88983.0,64077.0,339431.0,,25000.0,18507.0,2749.0,2130274.0,3136800.0,314504.0,694586.0,10800.0,2232100.0,35423.0,98600.0,11950.0,66.0,,461000.0,84275.0,15910.0,1450376.0,229794.0,162369.0,490260.0,1832000.0,,207000.0,81497.0,129653.0,813780.0,21900.0,374984.0,648200.0,208800.0,,
2001,15794.0,409719.0,215100.0,336600.0,,10812.0,42710.0,22405.0,221164.0,,20000.0,15094.0,2699.0,1882109.0,1779000.0,247666.0,605440.0,15600.0,2299100.0,36071.0,151100.0,4430.0,55.0,,408000.0,38400.0,11254.0,2433940.0,258363.0,186908.0,507440.0,1640000.0,,138000.0,50217.0,78444.0,917409.0,19900.0,202380.0,474700.0,211800.0,,
2002,15800.0,478486.0,327000.0,348600.0,,12884.0,26417.0,44160.0,165974.0,,18800.0,17160.0,3153.0,1995306.0,1471100.0,281082.0,526865.0,10900.0,2199219.0,50354.0,80000.0,11200.0,33.0,,354000.0,63320.0,16699.0,2167518.0,300225.0,224035.0,491494.0,1950000.0,,101623.0,51172.0,141687.0,694822.0,18005.0,275023.0,522300.0,179400.0,,
2003,13300.0,422912.0,136500.0,318900.0,,40575.0,38372.0,46340.0,140651.0,,32100.0,4899.0,2834.0,1721662.0,818032.0,207670.0,507505.0,7500.0,1953752.0,36091.0,97493.0,3920.0,12.0,,359000.0,61936.0,12361.0,2427753.0,284971.0,494300.0,811099.0,1700000.0,,251144.0,61000.0,101641.0,881101.0,21515.0,209501.0,871300.0,143900.0,,
2004,15000.0,484096.0,231700.0,355800.0,,53319.0,39393.0,63092.0,146894.0,,35307.0,2159.0,2675.0,1800177.0,979730.0,274704.0,700391.0,18500.0,2136226.0,6918.0,33951.0,10700.0,32.0,,436000.0,82409.0,16137.0,2521514.0,275123.0,310100.0,1097837.0,2026000.0,,188000.0,42000.0,139917.0,690886.0,18500.0,284586.0,716900.0,170400.0,,
2005,16000.0,452607.0,232656.0,324960.0,,52181.0,26130.0,57298.0,134094.0,,35307.0,10663.0,3610.0,1829166.0,891402.0,250019.0,510361.0,14800.0,2192000.0,37524.0,96533.0,3815.0,66.0,,359000.0,86217.0,10928.0,2074951.0,250543.0,278421.0,637979.0,1786000.0,,202104.0,47000.0,106196.0,774210.0,17683.0,212996.0,719800.0,218100.0,,
